Adipocytes_names,Adipocytes_logfoldchanges,Adipocytes_pvals,Adipocytes_pvals_adj,CCS_names,CCS_logfoldchanges,CCS_pvals,CCS_pvals_adj,EC_Arterial_names,EC_Arterial_logfoldchanges,EC_Arterial_pvals,EC_Arterial_pvals_adj,EC_Capillary_names,EC_Capillary_logfoldchanges,EC_Capillary_pvals,EC_Capillary_pvals_adj,EC_Lymphatic_names,EC_Lymphatic_logfoldchanges,EC_Lymphatic_pvals,EC_Lymphatic_pvals_adj,EC_Mixed_names,EC_Mixed_logfoldchanges,EC_Mixed_pvals,EC_Mixed_pvals_adj,EC_Valves_Pericytes_names,EC_Valves_Pericytes_logfoldchanges,EC_Valves_Pericytes_pvals,EC_Valves_Pericytes_pvals_adj,EC_Venous_names,EC_Venous_logfoldchanges,EC_Venous_pvals,EC_Venous_pvals_adj,Endocardium_names,Endocardium_logfoldchanges,Endocardium_pvals,Endocardium_pvals_adj,Epicardium_names,Epicardium_logfoldchanges,Epicardium_pvals,Epicardium_pvals_adj,Fibroblasts_names,Fibroblasts_logfoldchanges,Fibroblasts_pvals,Fibroblasts_pvals_adj,Leukocytes_names,Leukocytes_logfoldchanges,Leukocytes_pvals,Leukocytes_pvals_adj,Neurons_Mixed_names,Neurons_Mixed_logfoldchanges,Neurons_Mixed_pvals,Neurons_Mixed_pvals_adj,Neurons_SchwannGlialCells_names,Neurons_SchwannGlialCells_logfoldchanges,Neurons_SchwannGlialCells_pvals,Neurons_SchwannGlialCells_pvals_adj,Pericytes_names,Pericytes_logfoldchanges,Pericytes_pvals,Pericytes_pvals_adj,PlateletsErythrocytes_names,PlateletsErythrocytes_logfoldchanges,PlateletsErythrocytes_pvals,PlateletsErythrocytes_pvals_adj,SMC_names,SMC_logfoldchanges,SMC_pvals,SMC_pvals_adj,aCM_names,aCM_logfoldchanges,aCM_pvals,aCM_pvals_adj,unknown_names,unknown_logfoldchanges,unknown_pvals,unknown_pvals_adj,vCM_names,vCM_logfoldchanges,vCM_pvals,vCM_pvals_adj
MGST1,5.4630003,0.0,0.0,MYH6,4.41397,0.0,0.0,MECOM,3.4832544,0.0,0.0,VWF,4.227318,0.0,0.0,TFPI,3.5773351,0.0,0.0,VWF,4.0728345,0.0,0.0,LDB2,3.0045369,0.0,0.0,VWF,4.6561203,0.0,0.0,EMCN,4.71486,0.0,0.0,ALDH1A2,3.9571838,0.0,0.0,DCN,4.1677346,0.0,0.0,PTPRC,5.9539905,0.0,0.0,NRXN1,5.045429,0.0,0.0,NRXN1,6.138942,0.0,0.0,DLC1,3.4569347,0.0,0.0,HBA2,6.169852,0.0,0.0,IGFBP7,3.1452925,0.0,0.0,MYH6,4.9992094,0.0,0.0,HBA2,2.5661044,0.0,0.0,SORBS2,3.5666754,0.0,0.0
PPARG,5.581631,0.0,0.0,MYL7,4.4497895,0.0,0.0,PTPRB,4.044875,0.0,0.0,EMCN,3.8866558,0.0,0.0,MMRN1,7.050682,0.0,0.0,LDB2,2.9566014,0.0,0.0,VWF,3.2082026,0.0,0.0,PECAM1,3.7739573,0.0,0.0,CDH11,4.089697,0.0,0.0,ITLN1,8.538069,0.0,0.0,COL1A2,3.9584332,0.0,0.0,RBM47,5.194519,0.0,0.0,CADM1,2.2539759,0.0,0.0,GPM6B,3.8753629,0.0,0.0,PDGFRB,4.0693707,0.0,0.0,HBA1,6.393243,0.0,0.0,CALD1,1.9520999,0.0,0.0,PAM,3.6775897,0.0,0.0,HBA1,2.5145469,0.0,0.0,TTN,3.9292324,0.0,0.0
SOX5,4.3253965,0.0,0.0,TNNT2,3.2900348,0.0,0.0,FLT1,3.7755938,0.0,0.0,FLT1,4.102813,0.0,0.0,PPFIBP1,2.8023143,0.0,0.0,PTPRM,2.3039958,0.0,0.0,PECAM1,2.8807206,0.0,0.0,PTPRB,4.208833,0.0,0.0,CGNL1,3.8460786,0.0,0.0,SULF1,4.09371,0.0,0.0,COL6A3,3.4188251,0.0,0.0,CD163,5.909827,0.0,0.0,LINC00682,8.590039,0.0,0.0,XKR4,6.574456,0.0,0.0,EPS8,3.2791154,0.0,0.0,FTL,3.2570262,2.5532214533774024e-159,1.284440605812392e-155,ACTA2,3.87059,0.0,0.0,MYL7,5.6598263,0.0,0.0,PTMA,1.22199,0.0,0.0,LDB3,3.419716,0.0,0.0
PDE3B,5.09461,0.0,0.0,ACTC1,3.8441756,0.0,0.0,VWF,3.6449738,0.0,0.0,EGFL7,3.3237326,0.0,0.0,CCL21,7.5253167,0.0,0.0,PITPNC1,3.0594213,0.0,0.0,PITPNC1,2.7579527,0.0,0.0,LDB2,3.2846599,0.0,0.0,LEPR,4.7428513,0.0,0.0,CCDC80,3.4551272,0.0,0.0,COL3A1,3.4727614,0.0,0.0,F13A1,5.5575547,0.0,0.0,TUBB2B,4.8211393,0.0,0.0,SLC35F1,5.6941214,0.0,0.0,PRKG1,2.6419013,0.0,0.0,FTH1,2.744571,1.3095588850858481e-136,4.9409656734289055e-133,TPM2,2.7376244,0.0,0.0,NPPA,6.0109324,0.0,0.0,TOP2A,2.59473,0.0,0.0,MYBPC3,3.5043638,0.0,0.0
EBF1,3.8577833,0.0,0.0,MYL4,3.7225683,0.0,0.0,PECAM1,3.5080023,0.0,0.0,ADGRF5,4.0426536,0.0,0.0,NRP2,4.0631027,0.0,0.0,FLT1,3.296809,0.0,0.0,EGFL7,2.3349218,0.0,0.0,EMCN,3.2211425,0.0,0.0,CALCRL,3.82459,0.0,0.0,KRT19,6.6044116,0.0,0.0,COL5A2,2.9095068,0.0,0.0,IQGAP2,4.5459967,0.0,0.0,SORCS1,4.1388154,0.0,0.0,S100B,8.147434,0.0,0.0,PLA2G5,3.6691096,0.0,0.0,ALDOA,2.5328236,2.5150788709418668e-118,6.326261720042442e-115,CPE,3.536753,0.0,0.0,MYL4,4.378771,0.0,0.0,NACA,1.0640513,0.0,0.0,MYL3,3.6884823,0.0,0.0
ACACB,4.7095113,0.0,0.0,CSRP3,3.2429597,0.0,0.0,EPAS1,3.3744638,0.0,0.0,TCF4,2.5637717,0.0,0.0,AKAP12,3.1719422,0.0,0.0,KIAA1217,2.5050337,0.0,0.0,EMCN,2.697937,0.0,0.0,CALCRL,3.341415,0.0,0.0,POSTN,3.9028814,0.0,0.0,IGFBP5,3.7128763,0.0,0.0,COL6A2,3.0717351,0.0,0.0,MRC1,5.4367027,0.0,0.0,ELAVL4,8.010953,0.0,0.0,ERBB3,6.4777637,0.0,0.0,NR2F2-AS1,3.5273376,0.0,0.0,EIF1,2.1759725,6.110514182456788e-113,1.1527485005204732e-109,BGN,3.3842459,0.0,0.0,TNNT2,3.5399761,0.0,0.0,NUSAP1,2.7894793,0.0,0.0,NEBL,3.0390456,0.0,0.0
GPAM,7.689607,0.0,0.0,TPM1,2.8813725,0.0,0.0,EGFL7,2.9217584,0.0,0.0,PECAM1,3.4749572,0.0,0.0,FLT4,6.111563,0.0,0.0,PECAM1,2.9650357,0.0,0.0,ST6GALNAC3,2.5251598,0.0,0.0,RAMP3,4.8794985,0.0,0.0,TFPI,3.139799,0.0,0.0,EZR,2.9881124,0.0,0.0,MEG3,2.8969097,0.0,0.0,DOCK2,5.216144,0.0,0.0,BEX1,4.022352,0.0,0.0,CADM1,2.8718295,0.0,0.0,GUCY1A2,3.855109,0.0,0.0,HBB,4.219238,3.5201717755316675e-107,5.312643243632393e-104,NOTCH3,3.3444054,0.0,0.0,ACTC1,3.944766,0.0,0.0,CENPF,2.4725502,0.0,0.0,ACTN2,3.0486934,0.0,0.0
NEAT1,3.4081533,0.0,0.0,DES,2.6471307,0.0,0.0,LDB2,2.9470081,0.0,0.0,PTPRB,3.9194202,0.0,0.0,PTPRE,3.1928437,0.0,0.0,ST6GALNAC3,2.974459,0.0,0.0,PTPRB,2.6043556,0.0,0.0,TSHZ2,3.1145337,0.0,0.0,ENG,3.2722063,0.0,0.0,SLIT3,3.2752514,0.0,0.0,COL5A1,3.200055,0.0,0.0,DOCK8,4.5545387,0.0,0.0,MAP1B,2.339583,0.0,0.0,PTPRZ1,5.379183,0.0,0.0,ABCC9,3.560783,0.0,0.0,GADD45A,4.4358,1.1357500962072067e-100,1.142716030130611e-97,RGS5,3.8979878,0.0,0.0,ATP2A2,2.3998275,0.0,0.0,GNAS,1.0084498,0.0,0.0,MYOM1,3.278286,0.0,0.0
PNPLA2,5.2458687,0.0,0.0,PLN,2.8340752,0.0,0.0,ID1,2.8816938,0.0,0.0,ARHGAP29,2.7871292,0.0,0.0,ELK3,3.23632,0.0,0.0,PTPRB,3.2779765,0.0,0.0,HSPG2,1.92266,0.0,0.0,ANO2,4.2227674,0.0,0.0,SAT1,3.1681883,0.0,0.0,S100A10,4.0457563,0.0,0.0,COL1A1,4.3069587,0.0,0.0,MS4A6A,6.316218,0.0,0.0,XKR4,5.1351657,0.0,0.0,PLP1,5.5025144,0.0,0.0,EBF1,2.4746642,0.0,0.0,SLC25A37,2.9765737,4.51384792074826e-95,3.585420674733302e-92,ISYNA1,3.082916,0.0,0.0,CSRP3,3.3372095,0.0,0.0,RNASEK,1.7537626,4.709951324005581e-306,2.702759900452176e-304,MYH7,3.6970985,0.0,0.0
ACSL1,4.652164,0.0,0.0,TNNC1,2.9143236,0.0,0.0,EMCN,3.0174723,0.0,0.0,A2M,3.2475488,0.0,0.0,EGFL7,2.893638,0.0,0.0,ANO2,3.7843935,0.0,0.0,PRKCH,2.55419,0.0,0.0,ST6GALNAC3,3.2924318,0.0,0.0,PRCP,3.6780634,0.0,0.0,SBSPON,5.933024,0.0,0.0,COL6A1,2.7987957,0.0,0.0,SRGN,4.0771036,0.0,0.0,UCHL1,4.122066,0.0,0.0,ALDH1A1,5.9085007,0.0,0.0,IGFBP7,2.0915437,0.0,0.0,DNAJA1,2.6116214,1.0070202448297662e-94,7.598974767485415e-92,PDGFRB,2.830261,0.0,0.0,TPM1,2.9212363,0.0,0.0,STMN1,1.2983329,3.1647997222643726e-304,1.769005829941256e-302,FHL2,3.2727447,0.0,0.0
AQP7,4.868559,0.0,0.0,ATP2A2,2.1064138,0.0,0.0,BTNL9,4.5880823,0.0,0.0,LDB2,2.964982,0.0,0.0,TBX1,7.175943,0.0,0.0,BTNL9,4.039661,0.0,0.0,ELMO1,2.054489,0.0,0.0,PTPRM,2.2755785,0.0,0.0,PLVAP,4.923792,0.0,0.0,GPM6A,6.0140996,0.0,0.0,C7,3.554261,0.0,0.0,CTSB,2.8951735,0.0,0.0,MLLT11,3.5810773,0.0,0.0,CDH19,3.5983796,0.0,0.0,CALD1,1.4315605,0.0,0.0,PPP1R15A,2.9130557,9.824578050209272e-89,5.930901277350333e-86,SPARC,2.6193833,0.0,0.0,TBX5,3.2945745,0.0,0.0,EIF4A1,1.1842368,2.6641735172089692e-284,1.3182854662858283e-282,TNNT2,3.1366527,0.0,0.0
PLIN1,10.102402,0.0,0.0,SMPX,2.5824373,0.0,0.0,TACC1,2.6378603,0.0,0.0,ITGA6,3.83621,0.0,0.0,PROX1,3.531251,0.0,0.0,ADGRF5,3.1817374,0.0,0.0,SHANK3,2.9371204,0.0,0.0,FLT1,3.0196562,0.0,0.0,EGFL7,2.9089487,0.0,0.0,CDON,4.4990373,0.0,0.0,FBN1,2.6723516,0.0,0.0,RUNX1,3.2733736,0.0,0.0,GAP43,6.0858507,0.0,0.0,MPZ,8.161284,0.0,0.0,RGS5,3.0134497,0.0,0.0,MAP1LC3B,2.841705,1.846759509268345e-87,1.0322701671806616e-84,TAGLN,3.2199304,0.0,0.0,TRIM55,2.9141524,0.0,0.0,HMGB1,0.9850115,4.946578465658909e-273,2.2622352182946744e-271,SLC8A1,3.2645345,0.0,0.0
LIPE-AS1,4.8815565,0.0,0.0,MYL9,2.3187375,0.0,0.0,NOTCH4,4.0753613,0.0,0.0,ADGRL4,4.3091817,0.0,0.0,RELN,4.1641436,0.0,0.0,MCF2L,3.6858623,0.0,0.0,MECOM,1.9707471,0.0,0.0,TACC1,2.4406898,0.0,0.0,RAMP2,3.9356213,0.0,0.0,KRT18,3.4263968,0.0,0.0,PDGFRA,3.8398924,0.0,0.0,NEAT1,1.900758,0.0,0.0,SCN9A,3.5934825,0.0,0.0,ZNF536,4.94797,0.0,0.0,RBMS3,2.0016208,0.0,0.0,SQSTM1,2.8761106,4.080044808962872e-80,1.8659404926323533e-77,HES4,2.715652,0.0,0.0,DKK3,2.8153791,0.0,0.0,HNRNPA2B1,0.61775094,1.5886145157328974e-268,7.11435319627326e-267,FGF12,3.3617692,0.0,0.0
PLIN4,6.609727,0.0,0.0,MB,2.7323058,0.0,0.0,ARL15,2.9445488,0.0,0.0,CDH5,4.171581,0.0,0.0,SEMA3A,3.8175623,0.0,0.0,DOCK9,2.6711655,0.0,0.0,FLT1,2.3836672,0.0,0.0,PRKCH,3.103361,0.0,0.0,CTHRC1,4.1741314,0.0,0.0,KRT8,3.6239488,0.0,0.0,PTN,4.1362877,0.0,0.0,TBXAS1,5.0980034,0.0,0.0,CD24,4.5997324,0.0,0.0,DST,2.004928,0.0,0.0,FRMD3,3.3062747,0.0,0.0,JUND,2.2193851,3.619197874731526e-79,1.4762414682553563e-76,LGALS1,2.7167208,0.0,0.0,TNNC1,3.4777184,0.0,0.0,TPX2,2.6839628,2.045262991355858e-258,8.365070207464122e-257,PDLIM5,2.537646,0.0,0.0
MALAT1,1.8190525,0.0,0.0,MDH1,2.1298447,0.0,0.0,DOCK9,3.0520303,0.0,0.0,CYYR1,3.9240766,0.0,0.0,KANK3,3.6791801,0.0,0.0,PLEKHG1,2.8427324,0.0,0.0,PTPRM,1.5061203,0.0,0.0,SLCO2A1,5.004752,0.0,0.0,ECE1,2.8389652,0.0,0.0,UPK3B,9.642177,0.0,0.0,FBLN1,3.5869322,0.0,0.0,STAB1,4.3901544,0.0,0.0,CADM2,4.542472,0.0,0.0,LGI4,5.215735,0.0,0.0,APBB2,2.5295475,0.0,0.0,MTURN,4.4781513,9.761401156227755e-79,3.876817532889192e-76,MAP1B,2.0113873,0.0,0.0,PRKAG2,2.5746148,0.0,0.0,MKI67,2.6403208,3.4612949975016558e-258,1.4118341649268915e-256,RBM20,3.2221644,0.0,0.0
PLXNA4,3.8728967,0.0,0.0,TNNI3,2.4556231,0.0,0.0,ADGRF5,3.3229783,0.0,0.0,RGCC,4.029387,0.0,0.0,CLDN5,4.7765326,0.0,0.0,TACC1,2.2851768,0.0,0.0,ADGRF5,2.4551961,0.0,0.0,EGFL7,2.5471313,0.0,0.0,GMDS,2.7559152,0.0,0.0,MYRF,5.555156,0.0,0.0,FN1,2.3617864,0.0,0.0,MYO1F,5.0683336,0.0,0.0,STMN4,9.936499,0.0,0.0,TENM3,3.4381459,0.0,0.0,MYO1B,3.051423,0.0,0.0,RNASEK,2.4046698,1.5297131162334451e-78,5.919597525691065e-76,MCAM,2.8710713,0.0,0.0,MYL9,2.6867235,0.0,0.0,HSP90AB1,0.89521056,6.014241408119432e-253,2.382334155678175e-251,NEXN,2.467401,0.0,0.0
MAPK10,3.9235582,0.0,0.0,COX7C,2.229991,0.0,0.0,ST6GALNAC3,3.230893,0.0,0.0,CAV1,2.9041376,0.0,0.0,RHOJ,3.002663,0.0,0.0,SHANK3,3.4764585,0.0,0.0,FLI1,2.1948311,0.0,0.0,FLI1,2.708305,0.0,0.0,PROCR,4.1311126,0.0,0.0,TM4SF1,3.6021597,0.0,0.0,MGP,2.8446481,0.0,0.0,SLCO2B1,4.6735506,0.0,0.0,SYT1,4.6478066,0.0,0.0,SEMA3B,4.846284,0.0,0.0,SOX5,2.7230213,0.0,0.0,BAX,2.8921106,5.80146803390546e-76,2.18889388919253e-73,PLAC9,2.5054066,0.0,0.0,PLN,2.5382638,0.0,0.0,HMGN2,1.295356,8.300218210418291e-249,3.131672330790821e-247,PKP2,3.063832,0.0,0.0
GBE1,3.036396,0.0,0.0,UQCRB,2.1826303,0.0,0.0,PTPRM,2.2779682,0.0,0.0,SEC14L1,2.9629538,0.0,0.0,PKHD1L1,5.6144657,0.0,0.0,EGFL7,2.398706,0.0,0.0,ANO2,2.9656346,0.0,0.0,ADGRL4,3.5104687,0.0,0.0,LDB2,2.6654813,0.0,0.0,RARRES2,3.9978504,0.0,0.0,BICC1,3.0530262,0.0,0.0,FMN1,4.7360797,0.0,0.0,GAL,9.198225,0.0,0.0,COL18A1,2.3290944,0.0,0.0,EBF2,2.728571,0.0,0.0,ANK1,5.150485,2.125638094424509e-75,7.460495376989462e-73,ACTB,2.3621123,0.0,0.0,SMPX,2.9239626,0.0,0.0,MIF,1.2631943,7.619527703088818e-243,2.7642767330532797e-241,FHOD3,3.1923833,0.0,0.0
GHR,3.6244357,0.0,0.0,NPPA,3.0822425,0.0,0.0,ADGRL4,3.660177,0.0,0.0,BTNL9,4.3524804,0.0,0.0,TFF3,8.336914,0.0,0.0,MECOM,2.1622849,0.0,0.0,CALCRL,2.223136,0.0,0.0,PITPNC1,2.714972,0.0,0.0,BMPER,4.769505,0.0,0.0,BNC2,2.9693964,0.0,0.0,VCAN,2.149581,0.0,0.0,SAT1,2.2404182,0.0,0.0,TUBA1A,2.5874722,0.0,0.0,SORCS1,4.5335474,0.0,0.0,NOTCH3,3.3061688,0.0,0.0,LYL1,4.1270266,1.1993257134607703e-73,3.934831232076075e-71,VIM,2.4302926,0.0,0.0,TNNI1,3.3062987,0.0,0.0,ACTG1,1.0748146,4.13314992755267e-230,1.3830930977078692e-228,MYOZ2,2.7842617,0.0,0.0
MLXIPL,8.578147,0.0,0.0,CRYAB,2.4270568,0.0,0.0,ENG,2.3896558,0.0,0.0,SPTBN1,1.5918857,0.0,0.0,LYVE1,4.831802,0.0,0.0,SEC14L1,2.7605193,0.0,0.0,DOCK9,2.0575922,0.0,0.0,DOCK9,2.6531777,0.0,0.0,TM4SF1,3.6271884,0.0,0.0,TNNT1,4.6754904,0.0,0.0,FSTL1,1.9804341,0.0,0.0,RBPJ,2.656837,0.0,0.0,CHL1,5.475378,0.0,0.0,OLFML2A,4.6674995,0.0,0.0,PARD3,1.8938544,0.0,0.0,NACA,1.6573392,5.553992897479702e-73,1.6764172161752733e-70,MYL6,1.9477887,0.0,0.0,EPHA4,3.0655913,0.0,0.0,ASPM,2.670562,1.0187997607395679e-218,3.1572332626450843e-217,TECRL,2.6413224,0.0,0.0
TPRG1,4.652031,0.0,0.0,TNNI1,2.9966376,0.0,0.0,A2M,2.887014,0.0,0.0,MCF2L,3.711198,0.0,0.0,LDB2,2.26238,0.0,0.0,DOCK4,1.969661,0.0,0.0,RAPGEF5,2.4648204,0.0,0.0,CYYR1,3.4760327,0.0,0.0,ADGRG6,4.778518,0.0,0.0,LRP2,8.244118,0.0,0.0,SERPINE2,3.309492,0.0,0.0,SLC9A9,3.224884,0.0,0.0,BASP1,3.282281,0.0,0.0,ANXA2,2.3418996,0.0,0.0,EGFLAM,5.6265283,0.0,0.0,HYPK,3.4499714,1.1850415026299647e-72,3.506793403468908e-70,ID3,2.357655,0.0,0.0,TECRL,2.136386,0.0,0.0,LGALS1,1.1578891,1.8419920041250654e-211,5.387469636871218e-210,PPP1R12B,2.4979765,0.0,0.0
FOXO1,3.362942,0.0,0.0,COX7B,2.2539263,0.0,0.0,GALNT18,3.489838,0.0,0.0,HSPG2,2.4003167,0.0,0.0,TSHZ2,2.463036,0.0,0.0,PIK3R3,3.0297174,0.0,0.0,TACC1,1.7362417,0.0,0.0,ELK3,2.8201315,0.0,0.0,COLEC11,3.6795266,0.0,0.0,TBX18,3.6538465,0.0,0.0,ELN,2.5911524,0.0,0.0,SAMHD1,2.8412788,0.0,0.0,BEX2,4.222385,0.0,0.0,ZEB2,1.8383609,0.0,0.0,PDZD2,2.319054,0.0,0.0,PSMA6,2.4447212,9.863752927160526e-71,2.7066138032128486e-68,PTMA,2.1046007,0.0,0.0,CRYAB,2.6145298,0.0,0.0,NPM1,0.8370838,3.980557870404834e-204,1.090282747371139e-202,MTUS2,2.9723384,0.0,0.0
SORBS1,2.5683815,0.0,0.0,DKK3,2.41947,0.0,0.0,PIK3R3,3.4837298,0.0,0.0,PLEKHG1,3.1366086,0.0,0.0,NR2F1,3.8569582,0.0,0.0,PLCB1,1.9697669,0.0,0.0,ERG,2.575901,0.0,0.0,ERG,3.3233025,0.0,0.0,HSPG2,2.3000424,0.0,0.0,WT1,4.16181,0.0,0.0,MFAP4,3.8752153,0.0,0.0,SMAP2,3.794618,0.0,0.0,CD9,2.1443365,0.0,0.0,METRN,3.9166381,0.0,0.0,PTEN,2.0423083,0.0,0.0,SLC2A1,4.055731,1.3642309421911633e-64,3.3208021579917797e-62,TPM4,1.8582788,0.0,0.0,CKM,2.7216969,0.0,0.0,ACTB,0.9170206,6.916053331905366e-201,1.8441179661681234e-199,POPDC2,2.868235,0.0,0.0
LIPE,5.755027,0.0,0.0,NDUFA4,2.1433249,0.0,0.0,TCF4,1.8322347,0.0,0.0,KANK3,4.0402904,0.0,0.0,HLA-E,2.8929062,0.0,0.0,NOTCH4,3.6837687,0.0,0.0,DOCK4,1.6804943,0.0,0.0,PLEKHG1,2.8849552,0.0,0.0,TEK,3.309743,0.0,0.0,CXADR,3.341858,0.0,0.0,COL12A1,3.5432193,0.0,0.0,APBB1IP,4.6259794,0.0,0.0,ALCAM,3.0598595,0.0,0.0,PLAT,3.6796184,0.0,0.0,MAML2,1.8928587,0.0,0.0,UBB,1.5954573,2.1849332625051748e-64,5.234129015512397e-62,PPP1R14A,2.6942084,0.0,0.0,SFRP1,2.6432927,0.0,0.0,HMGB2,1.4749234,2.6743546121756626e-197,6.946877763675577e-196,FILIP1,2.1365683,0.0,0.0
SIK2,3.3286295,0.0,0.0,COX5B,2.1190429,0.0,0.0,EFNB2,3.1148875,0.0,0.0,PODXL,3.635026,0.0,0.0,TIE1,3.4657314,0.0,0.0,EMCN,2.3898008,0.0,0.0,RALGAPA2,2.1285462,0.0,0.0,EPAS1,2.4760687,0.0,0.0,KLHL4,4.168666,0.0,0.0,PKHD1L1,5.128236,0.0,0.0,ABCA8,2.7492468,0.0,0.0,MSR1,5.342801,0.0,0.0,CRMP1,3.449904,0.0,0.0,INSC,8.004937,0.0,0.0,CCDC102B,2.8069348,0.0,0.0,UBC,1.8046235,4.2712326070641503e-64,1.0072100391533151e-61,TINAGL1,3.2762737,0.0,0.0,NR2F1,4.2151046,0.0,0.0,SMC4,1.5354067,4.7872263032100757e-197,1.237137317946001e-195,SMYD1,3.1528575,0.0,0.0
BCL2,3.5563989,0.0,0.0,SLC25A4,2.201151,0.0,0.0,CYYR1,3.377334,0.0,0.0,ELK3,2.8842506,0.0,0.0,VAV3,3.5034857,0.0,0.0,TCF4,1.4546643,0.0,0.0,SPTBN1,1.0338311,0.0,0.0,DOCK4,2.205447,0.0,0.0,NPR3,4.8053355,0.0,0.0,FLRT2,2.8525043,0.0,0.0,RRBP1,2.2113042,0.0,0.0,SYK,5.6054125,0.0,0.0,TUBB2A,3.4440584,0.0,0.0,AP1S2,2.4305058,0.0,0.0,DENND2A,2.7210786,0.0,0.0,HSP90AB1,1.4492582,1.8146442301818205e-63,4.2133247264467745e-61,MYLK,3.912287,0.0,0.0,HSPB7,2.1884315,0.0,0.0,PTMS,0.99449867,6.968828688441817e-191,1.7241567633764575e-189,RYR2,3.1571937,0.0,0.0
TMEM135,3.2854257,0.0,0.0,SH3BGR,2.4680977,0.0,0.0,PODXL,3.4677231,0.0,0.0,EPAS1,2.6255155,0.0,0.0,PCAT19,3.526017,0.0,0.0,SYNE2,1.7852837,0.0,0.0,PLEKHG1,2.1350489,0.0,0.0,ELMO1,2.2733593,0.0,0.0,FN1,2.3490593,0.0,0.0,BCHE,3.5395186,0.0,0.0,PCOLCE,3.5698674,0.0,0.0,INPP5D,3.9737253,0.0,0.0,NRXN3,4.3067055,8.31300847601651e-305,4.1819974640013727e-302,CDH6,4.848663,0.0,0.0,SPARCL1,1.7943275,0.0,0.0,ZFAS1,1.8827046,7.858112892071585e-62,1.770069250255886e-59,COL4A1,1.9160932,0.0,0.0,RBM24,2.262371,0.0,0.0,PRC1,2.5298975,7.17260625530937e-189,1.7431396715801775e-187,TRDN,2.7256691,0.0,0.0
TMEM132C,5.071504,0.0,0.0,COX7A1,2.8290458,0.0,0.0,SEC14L1,2.7726686,0.0,0.0,SHANK3,3.55483,0.0,0.0,PIEZO2,3.4657876,0.0,0.0,GALNT18,2.9264147,0.0,0.0,GMDS,2.1956055,0.0,0.0,PREX2,3.0457852,0.0,0.0,PECAM1,2.5235431,0.0,0.0,FRAS1,3.0145545,0.0,0.0,LTBP4,2.552867,0.0,0.0,PIK3R5,5.6546154,0.0,0.0,CHRNA3,8.00416,2.5754964866523573e-296,1.2146685305174181e-293,CHL1,6.0251184,0.0,0.0,ADGRB3,2.4288921,0.0,0.0,TPT1,1.7834128,1.0967785085845188e-60,2.3989248190663127e-58,ACTG1,2.1749947,0.0,0.0,SLC25A4,2.2685254,0.0,0.0,CENPE,2.8084927,2.0435118226453866e-188,4.926626266352105e-187,LMO7,2.611303,0.0,0.0
ITSN1,2.852052,0.0,0.0,TBX5,2.5348141,0.0,0.0,ELMO1,2.3904047,0.0,0.0,NOTCH4,3.8658965,0.0,0.0,SEMA6A,3.0870645,0.0,0.0,MAGI1,1.4658028,0.0,0.0,CMIP,1.886937,0.0,0.0,SHANK3,3.1688063,0.0,0.0,COL3A1,2.7049968,0.0,0.0,RDH10,4.2979426,0.0,0.0,PLAC9,2.7848058,0.0,0.0,ZEB2,1.6624775,0.0,0.0,ZNF536,3.8546665,2.134209556625766e-294,9.76045170563517e-292,PMEPA1,3.0858698,0.0,0.0,TFPI,1.8366773,0.0,0.0,SOD1,2.037082,1.8430158608972794e-60,3.9175768130509496e-58,MAGED2,1.9129684,0.0,0.0,TNNI3,2.2473073,0.0,0.0,UBA52,0.760805,1.0419623478496423e-187,2.4803305605278864e-186,CDH2,2.3456001,0.0,0.0
DLC1,2.3720195,0.0,0.0,COX6B1,1.9796424,0.0,0.0,RAPGEF1,2.6911612,0.0,0.0,CD34,2.9702535,0.0,0.0,APP,1.5666437,0.0,0.0,RASGRF2,3.728536,0.0,0.0,PODXL,2.5419123,0.0,0.0,MCTP1,3.497915,0.0,0.0,TMEM100,5.510683,0.0,0.0,PLLP,6.081468,0.0,0.0,MMP2,2.9781673,0.0,0.0,LAPTM5,5.419465,0.0,0.0,CHGB,7.001706,8.197576899836318e-293,3.6387597227155803e-290,PMP22,2.4124658,0.0,0.0,MSC-AS1,2.9565315,0.0,0.0,EIF2AK1,2.8058865,8.686655241159222e-60,1.8208194569385413e-57,COX4I2,4.9626236,0.0,0.0,DES,2.1540375,0.0,0.0,GSTP1,0.9158936,4.4331789228662634e-186,1.0453990047484008e-184,PALLD,2.468853,0.0,0.0
SLC19A3,8.217124,0.0,0.0,UQCR10,2.0838864,0.0,0.0,STOM,2.5789638,0.0,0.0,PRKCH,3.059321,0.0,0.0,ARL4A,3.6270213,0.0,0.0,CD36,1.6633857,0.0,0.0,PLXDC2,1.3374354,0.0,0.0,ITGA6,2.9522717,0.0,0.0,SMOC1,5.9719095,0.0,0.0,CFI,4.319077,0.0,0.0,SCN7A,3.2247586,0.0,0.0,ARHGAP18,2.9823627,0.0,0.0,ADGRB3,2.557255,1.8681335112803096e-291,8.055391700640695e-289,MARCKS,2.237397,0.0,0.0,ARHGAP10,1.9940201,0.0,0.0,S100A6,2.2502573,2.5716184904431756e-58,4.975752084329282e-56,NDUFA4L2,4.43364,0.0,0.0,MLF1,2.0137963,0.0,0.0,MARCKS,1.015332,3.2524777824683364e-184,7.586768886091519e-183,AKAP6,2.979516,0.0,0.0
